data_hora,poluente,valor,unidade
2026-07-19 14:00,NO,2,ug/m3
2026-07-19 15:00,NO,2,ug/m3
2026-07-19 16:00,NO,2,ug/m3
2026-07-19 17:00,NO,1,ug/m3
2026-07-19 18:00,NO,2,ug/m3
2026-07-19 19:00,NO,3,ug/m3
2026-07-19 20:00,NO,7,ug/m3
2026-07-19 21:00,NO,29,ug/m3
2026-07-19 22:00,NO,29,ug/m3
2026-07-19 23:00,NO,9,ug/m3
2026-07-20 01:00,NO,1,ug/m3
2026-07-20 02:00,NO,1,ug/m3
2026-07-20 03:00,NO,0,ug/m3
2026-07-20 04:00,NO,1,ug/m3
2026-07-20 05:00,NO,2,ug/m3
2026-07-20 06:00,NO,5,ug/m3
2026-07-20 07:00,NO,12,ug/m3
2026-07-20 08:00,NO,23,ug/m3
2026-07-20 09:00,NO,25,ug/m3
2026-07-20 10:00,NO,17,ug/m3
2026-07-20 11:00,NO,5,ug/m3
2026-07-20 12:00,NO,3,ug/m3
2026-07-20 13:00,NO,3,ug/m3
2026-07-20 14:00,NO,3,ug/m3
2026-07-20 15:00,NO,2,ug/m3
2026-07-20 16:00,NO,2,ug/m3
2026-07-20 17:00,NO,3,ug/m3
2026-07-20 18:00,NO,7,ug/m3
2026-07-20 19:00,NO,50,ug/m3
2026-07-20 20:00,NO,75,ug/m3
2026-07-20 21:00,NO,65,ug/m3
2026-07-20 22:00,NO,38,ug/m3
2026-07-20 23:00,NO,26,ug/m3
2026-07-21 00:00,NO,2,ug/m3
2026-07-21 01:00,NO,2,ug/m3
2026-07-21 02:00,NO,1,ug/m3
2026-07-21 03:00,NO,4,ug/m3
2026-07-21 04:00,NO,3,ug/m3
2026-07-21 05:00,NO,15,ug/m3
2026-07-21 06:00,NO,95,ug/m3
2026-07-21 07:00,NO,106,ug/m3
2026-07-21 08:00,NO,95,ug/m3
2026-07-21 09:00,NO,31,ug/m3
2026-07-21 10:00,NO,10,ug/m3
2026-07-21 11:00,NO,7,ug/m3
2026-07-21 12:00,NO,4,ug/m3
2026-07-21 13:00,NO,3,ug/m3
2026-07-21 14:00,NO,2,ug/m3
2026-07-21 15:00,NO,2,ug/m3
2026-07-21 16:00,NO,2,ug/m3
2026-07-21 17:00,NO,3,ug/m3
2026-07-21 18:00,NO,3,ug/m3
2026-07-21 19:00,NO,50,ug/m3
2026-07-21 20:00,NO,37,ug/m3
2026-07-21 21:00,NO,44,ug/m3
2026-07-21 22:00,NO,27,ug/m3
2026-07-21 23:00,NO,15,ug/m3
2026-07-22 00:00,NO,2,ug/m3
2026-07-22 01:00,NO,1,ug/m3
2026-07-22 02:00,NO,1,ug/m3
2026-07-22 03:00,NO,1,ug/m3
2026-07-22 04:00,NO,0,ug/m3
2026-07-22 05:00,NO,1,ug/m3
2026-07-22 06:00,NO,10,ug/m3
2026-07-22 07:00,NO,30,ug/m3
2026-07-22 08:00,NO,81,ug/m3
2026-07-22 09:00,NO,37,ug/m3
2026-07-22 10:00,NO,19,ug/m3
2026-07-22 11:00,NO,5,ug/m3
2026-07-22 12:00,NO,2,ug/m3
2026-07-22 13:00,NO,2,ug/m3
2026-07-22 14:00,NO,2,ug/m3
2026-07-22 15:00,NO,1,ug/m3
2026-07-22 16:00,NO,1,ug/m3
2026-07-22 17:00,NO,1,ug/m3
2026-07-22 18:00,NO,1,ug/m3
2026-07-22 19:00,NO,1,ug/m3
2026-07-22 20:00,NO,1,ug/m3
2026-07-22 21:00,NO,1,ug/m3
2026-07-22 22:00,NO,2,ug/m3
2026-07-22 23:00,NO,1,ug/m3
2026-07-23 00:00,NO,1,ug/m3
2026-07-23 01:00,NO,1,ug/m3
2026-07-23 02:00,NO,1,ug/m3
2026-07-23 03:00,NO,1,ug/m3
2026-07-23 04:00,NO,0,ug/m3
2026-07-23 05:00,NO,0,ug/m3
2026-07-23 06:00,NO,1,ug/m3
2026-07-23 07:00,NO,8,ug/m3
2026-07-23 08:00,NO,14,ug/m3
2026-07-23 09:00,NO,14,ug/m3
2026-07-23 10:00,NO,17,ug/m3
2026-07-23 11:00,NO,16,ug/m3
2026-07-23 12:00,NO,10,ug/m3
2026-07-23 13:00,NO,5,ug/m3
2026-07-23 14:00,NO,2,ug/m3
2026-07-23 15:00,NO,3,ug/m3
2026-07-23 16:00,NO,3,ug/m3
2026-07-23 17:00,NO,3,ug/m3
2026-07-23 18:00,NO,2,ug/m3
2026-07-23 19:00,NO,1,ug/m3
2026-07-23 20:00,NO,1,ug/m3
2026-07-23 21:00,NO,1,ug/m3
2026-07-23 22:00,NO,1,ug/m3
2026-07-23 23:00,NO,0,ug/m3
2026-07-24 00:00,NO,0,ug/m3
2026-07-24 01:00,NO,0,ug/m3
2026-07-18 01:00,NO2,94,ug/m3
2026-07-18 02:00,NO2,88,ug/m3
2026-07-18 03:00,NO2,81,ug/m3
2026-07-18 04:00,NO2,71,ug/m3
2026-07-18 05:00,NO2,60,ug/m3
2026-07-18 06:00,NO2,54,ug/m3
2026-07-18 07:00,NO2,54,ug/m3
2026-07-18 08:00,NO2,51,ug/m3
2026-07-18 09:00,NO2,59,ug/m3
2026-07-18 10:00,NO2,54,ug/m3
2026-07-18 11:00,NO2,24,ug/m3
2026-07-18 12:00,NO2,14,ug/m3
2026-07-18 13:00,NO2,15,ug/m3
2026-07-18 14:00,NO2,15,ug/m3
2026-07-18 15:00,NO2,17,ug/m3
2026-07-18 16:00,NO2,16,ug/m3
2026-07-18 17:00,NO2,22,ug/m3
2026-07-18 18:00,NO2,42,ug/m3
2026-07-18 19:00,NO2,67,ug/m3
2026-07-18 20:00,NO2,66,ug/m3
2026-07-18 21:00,NO2,71,ug/m3
2026-07-18 22:00,NO2,64,ug/m3
2026-07-18 23:00,NO2,52,ug/m3
2026-07-19 01:00,NO2,53,ug/m3
2026-07-19 02:00,NO2,49,ug/m3
2026-07-19 03:00,NO2,63,ug/m3
2026-07-19 04:00,NO2,54,ug/m3
2026-07-19 05:00,NO2,58,ug/m3
2026-07-19 06:00,NO2,59,ug/m3
2026-07-19 07:00,NO2,61,ug/m3
2026-07-19 08:00,NO2,57,ug/m3
2026-07-19 09:00,NO2,47,ug/m3
2026-07-19 10:00,NO2,26,ug/m3
2026-07-19 11:00,NO2,14,ug/m3
2026-07-19 12:00,NO2,12,ug/m3
2026-07-19 13:00,NO2,12,ug/m3
2026-07-19 14:00,NO2,12,ug/m3
2026-07-19 15:00,NO2,12,ug/m3
2026-07-19 16:00,NO2,14,ug/m3
2026-07-19 17:00,NO2,16,ug/m3
2026-07-19 18:00,NO2,36,ug/m3
2026-07-19 19:00,NO2,68,ug/m3
2026-07-19 20:00,NO2,73,ug/m3
2026-07-19 21:00,NO2,85,ug/m3
2026-07-19 22:00,NO2,81,ug/m3
2026-07-19 23:00,NO2,68,ug/m3
2026-07-20 01:00,NO2,41,ug/m3
2026-07-20 02:00,NO2,28,ug/m3
2026-07-20 03:00,NO2,23,ug/m3
2026-07-20 04:00,NO2,31,ug/m3
2026-07-20 05:00,NO2,42,ug/m3
2026-07-20 06:00,NO2,47,ug/m3
2026-07-20 07:00,NO2,52,ug/m3
2026-07-20 08:00,NO2,50,ug/m3
2026-07-20 09:00,NO2,51,ug/m3
2026-07-20 10:00,NO2,49,ug/m3
2026-07-20 11:00,NO2,21,ug/m3
2026-07-20 12:00,NO2,16,ug/m3
2026-07-20 13:00,NO2,16,ug/m3
2026-07-20 14:00,NO2,14,ug/m3
2026-07-20 15:00,NO2,16,ug/m3
2026-07-20 16:00,NO2,17,ug/m3
2026-07-20 17:00,NO2,23,ug/m3
2026-07-20 18:00,NO2,55,ug/m3
2026-07-20 19:00,NO2,106,ug/m3
2026-07-20 20:00,NO2,107,ug/m3
2026-07-20 21:00,NO2,99,ug/m3
2026-07-20 22:00,NO2,87,ug/m3
2026-07-20 23:00,NO2,80,ug/m3
2026-07-21 00:00,NO2,61,ug/m3
2026-07-21 01:00,NO2,58,ug/m3
2026-07-21 02:00,NO2,49,ug/m3
2026-07-21 03:00,NO2,58,ug/m3
2026-07-21 04:00,NO2,47,ug/m3
2026-07-21 05:00,NO2,44,ug/m3
2026-07-21 06:00,NO2,61,ug/m3
2026-07-21 07:00,NO2,66,ug/m3
2026-07-21 08:00,NO2,72,ug/m3
2026-07-21 09:00,NO2,64,ug/m3
2026-07-21 10:00,NO2,51,ug/m3
2026-07-21 11:00,NO2,53,ug/m3
2026-07-21 12:00,NO2,32,ug/m3
2026-07-21 13:00,NO2,20,ug/m3
2026-07-21 14:00,NO2,17,ug/m3
2026-07-21 15:00,NO2,15,ug/m3
2026-07-21 16:00,NO2,20,ug/m3
2026-07-21 17:00,NO2,31,ug/m3
2026-07-21 18:00,NO2,53,ug/m3
2026-07-21 19:00,NO2,112,ug/m3
2026-07-21 20:00,NO2,97,ug/m3
2026-07-21 21:00,NO2,97,ug/m3
2026-07-21 22:00,NO2,90,ug/m3
2026-07-21 23:00,NO2,80,ug/m3
2026-07-22 00:00,NO2,53,ug/m3
2026-07-22 01:00,NO2,38,ug/m3
2026-07-22 02:00,NO2,53,ug/m3
2026-07-22 03:00,NO2,44,ug/m3
2026-07-22 04:00,NO2,31,ug/m3
2026-07-22 05:00,NO2,42,ug/m3
2026-07-22 06:00,NO2,55,ug/m3
2026-07-22 07:00,NO2,70,ug/m3
2026-07-22 08:00,NO2,82,ug/m3
2026-07-22 09:00,NO2,77,ug/m3
2026-07-22 10:00,NO2,71,ug/m3
2026-07-22 11:00,NO2,28,ug/m3
2026-07-22 12:00,NO2,15,ug/m3
2026-07-22 13:00,NO2,16,ug/m3
2026-07-22 14:00,NO2,18,ug/m3
2026-07-22 15:00,NO2,18,ug/m3
2026-07-22 16:00,NO2,23,ug/m3
2026-07-22 17:00,NO2,30,ug/m3
2026-07-22 18:00,NO2,34,ug/m3
2026-07-22 19:00,NO2,37,ug/m3
2026-07-22 20:00,NO2,40,ug/m3
2026-07-22 21:00,NO2,30,ug/m3
2026-07-22 22:00,NO2,31,ug/m3
2026-07-22 23:00,NO2,32,ug/m3
2026-07-23 00:00,NO2,35,ug/m3
2026-07-23 01:00,NO2,48,ug/m3
2026-07-23 02:00,NO2,62,ug/m3
2026-07-23 03:00,NO2,59,ug/m3
2026-07-23 04:00,NO2,16,ug/m3
2026-07-23 05:00,NO2,9,ug/m3
2026-07-23 06:00,NO2,19,ug/m3
2026-07-23 07:00,NO2,57,ug/m3
2026-07-23 08:00,NO2,49,ug/m3
2026-07-23 09:00,NO2,44,ug/m3
2026-07-23 10:00,NO2,64,ug/m3
2026-07-23 11:00,NO2,72,ug/m3
2026-07-23 12:00,NO2,64,ug/m3
2026-07-23 13:00,NO2,49,ug/m3
2026-07-23 14:00,NO2,42,ug/m3
2026-07-23 15:00,NO2,33,ug/m3
2026-07-23 16:00,NO2,36,ug/m3
2026-07-23 17:00,NO2,36,ug/m3
2026-07-23 18:00,NO2,25,ug/m3
2026-07-23 19:00,NO2,23,ug/m3
2026-07-23 20:00,NO2,23,ug/m3
2026-07-23 21:00,NO2,14,ug/m3
2026-07-23 22:00,NO2,17,ug/m3
2026-07-23 23:00,NO2,13,ug/m3
2026-07-24 00:00,NO2,14,ug/m3
2026-07-24 01:00,NO2,15,ug/m3
2026-07-20 13:00,MP2.5,6,ug/m3
2026-07-20 14:00,MP2.5,4,ug/m3
2026-07-20 15:00,MP2.5,4,ug/m3
2026-07-20 16:00,MP2.5,7,ug/m3
2026-07-20 17:00,MP2.5,13,ug/m3
2026-07-20 18:00,MP2.5,13,ug/m3
2026-07-20 19:00,MP2.5,26,ug/m3
2026-07-20 20:00,MP2.5,27,ug/m3
2026-07-20 21:00,MP2.5,39,ug/m3
2026-07-20 22:00,MP2.5,40,ug/m3
2026-07-20 23:00,MP2.5,43,ug/m3
2026-07-21 00:00,MP2.5,47,ug/m3
2026-07-21 01:00,MP2.5,38,ug/m3
2026-07-21 02:00,MP2.5,29,ug/m3
2026-07-21 03:00,MP2.5,24,ug/m3
2026-07-21 04:00,MP2.5,35,ug/m3
2026-07-21 05:00,MP2.5,30,ug/m3
2026-07-21 06:00,MP2.5,41,ug/m3
2026-07-21 07:00,MP2.5,50,ug/m3
2026-07-21 08:00,MP2.5,49,ug/m3
2026-07-21 09:00,MP2.5,25,ug/m3
2026-07-21 10:00,MP2.5,29,ug/m3
2026-07-21 11:00,MP2.5,43,ug/m3
2026-07-21 12:00,MP2.5,24,ug/m3
2026-07-21 13:00,MP2.5,2,ug/m3
2026-07-21 14:00,MP2.5,0,ug/m3
2026-07-21 15:00,MP2.5,3,ug/m3
2026-07-21 16:00,MP2.5,8,ug/m3
2026-07-21 17:00,MP2.5,9,ug/m3
2026-07-21 18:00,MP2.5,13,ug/m3
2026-07-21 19:00,MP2.5,24,ug/m3
2026-07-21 20:00,MP2.5,28,ug/m3
2026-07-21 21:00,MP2.5,37,ug/m3
2026-07-21 22:00,MP2.5,44,ug/m3
2026-07-21 23:00,MP2.5,52,ug/m3
2026-07-22 00:00,MP2.5,21,ug/m3
2026-07-22 01:00,MP2.5,8,ug/m3
2026-07-22 02:00,MP2.5,14,ug/m3
2026-07-22 03:00,MP2.5,14,ug/m3
2026-07-22 04:00,MP2.5,22,ug/m3
2026-07-22 05:00,MP2.5,23,ug/m3
2026-07-22 06:00,MP2.5,23,ug/m3
2026-07-22 07:00,MP2.5,22,ug/m3
2026-07-22 08:00,MP2.5,20,ug/m3
2026-07-22 09:00,MP2.5,31,ug/m3
