Tipo de Rede;Tipo de Monitoramento;Tipo;Data;Hora;Código Estação;Nome Estação;Nome Parâmetro;Unidade Medida;Média Horária;Média Móvel;Válido;Dt. Amostragem;Dt. Instalação;Dt. Retirada;Concentração;Taxa
A;CETESB;Dados Primários;18/07/2026;01:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;32;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;18/07/2026;02:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;6;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;18/07/2026;03:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;11;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;18/07/2026;04:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;5;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;18/07/2026;05:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;1;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;18/07/2026;06:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;3;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;18/07/2026;07:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;16;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;18/07/2026;08:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;22;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;18/07/2026;09:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;37;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;18/07/2026;10:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;17;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;18/07/2026;11:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;14;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;18/07/2026;12:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;6;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;18/07/2026;13:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;9;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;18/07/2026;14:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;11;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;18/07/2026;15:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;23;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;18/07/2026;16:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;13;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;18/07/2026;17:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;17;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;18/07/2026;18:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;19;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;18/07/2026;19:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;35;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;18/07/2026;20:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;57;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;18/07/2026;21:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;62;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;18/07/2026;22:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;29;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;18/07/2026;23:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;14;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;18/07/2026;24:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;22;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;19/07/2026;01:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;29;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;19/07/2026;02:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;4;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;19/07/2026;03:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;11;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;19/07/2026;04:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;3;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;19/07/2026;05:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;2;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;19/07/2026;06:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;6;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;19/07/2026;07:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;23;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;19/07/2026;08:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;13;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;19/07/2026;12:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;3;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;19/07/2026;13:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;5;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;19/07/2026;14:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;6;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;19/07/2026;15:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;5;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;19/07/2026;16:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;9;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;19/07/2026;17:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;6;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;19/07/2026;18:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;13;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;19/07/2026;19:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;22;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;19/07/2026;20:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;28;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;19/07/2026;21:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;61;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;19/07/2026;22:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;78;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;19/07/2026;23:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;105;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;19/07/2026;24:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;65;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;20/07/2026;01:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;9;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;20/07/2026;02:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;2;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;20/07/2026;03:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;10;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;20/07/2026;04:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;3;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;20/07/2026;05:00;91;Cerqueira César;NO (Monóxido de Nitrogênio);µg/m3;1;-;Sim;-;-;-;-;-
